KAZ,50.1,47.8,46.3,45,43.7,42.2
KEN,27.1,25.1,24,22.9,21.8,20.8
KGZ,55.8,54.9,54.1,53.5,52.9,52.5
KHM,56.1,50.5,46.9,43.4,40.1,37.4
KIR,76.6,73.7,72.8,71.2,69.6,68.6
KNA,,,,,,
KOR,51.7,47.4,45.2,42.7,40.5,38.2
KWT,43.6,42.6,42.3,41.8,41.2,40.9
LAC,30.60694895,27.56281386,25.61571135,23.85646317,22.28981797,20.73279375
LAO,75.3,71,68,65.6,62.7,60.1
LBN,49.5,49.3,49.4,49.3,49.1,49.4
LBR,18.9,17.7,17,16.2,15.7,15.1
LBY,,,,,,
LCA,,,,,,
LCN,31.37600155,28.41043682,26.49415686,24.76546753,23.23446741,21.72197728
LDC,43.69581918,41.51740531,40.08972853,38.67742203,37.31928501,36.19946601
LIC,,,,,,
LIE,,,,,,
LKA,45.5,44.7,44.3,43.8,43.6,43.2
LMC,48.5652065,45.68899518,43.95665488,42.19607488,40.63179271,39.07270912
LMY,47.75363417,45.55921376,44.16354045,42.75135589,41.52814447,40.32795107
LSO,42.5,45.3,47.6,49.8,52.3,54.7
LTE,48.5684212,46.81910385,45.62410739,44.43172376,43.468078,42.58738587
LTU,44.3,41.7,39.9,38.6,37,35.3
LUX,29.7,27.9,26.8,25.7,24.8,23.6
LVA,53.7,52.6,51.6,51,50.1,49.5
MAC,,,,,,
MAF,,,,,,
MAR,37.4,34.8,33.1,31.7,30.1,28.6
MCO,,,,,,
MDA,43.8,44,44.2,44.2,44.3,44.6
MDG,52.3,50.6,49.6,48.7,47.8,46.9
MDV,,,,,,
MEA,37.93585333,36.7152168,35.97976707,35.4208606,34.8257034,34.33104054
MEX,29,26.7,25.2,23.8,22.5,21.2
MHL,,,,,,
MIC,48.81995488,46.64522873,45.26364073,43.86547258,42.66259188,41.48163607
MKD,,,,,,
MLI,22.4,22.4,22.4,22.4,22.4,22.4
MLT,35.7,33.4,32,30.4,28.9,27.8
MMR,77.9,76.1,74.5,73.1,71.2,70.2
MNA,38.9319477,37.61885565,36.81620246,36.20257367,35.56624003,34.96573358
MNE,,,,,,
MNG,57.6,55.5,53.7,52,50.2,49.1
MNP,,,,,,
MOZ,33.7,30.5,28.6,26.7,24.9,23.4
MRT,,,,,,
MUS,54.1,52.2,50.9,49.9,49.1,48.3
MWI,29.8,26.8,24.9,23.3,21.9,20.4
MYS,49.4,47.2,46.1,44.9,43.8,42.7
NAC,35.23816654,33.58857689,32.71102791,31.67405926,30.76905838,30.03507005
NAM,28,28,28,28.1,28.2,28.4
NCL,,,,,,
NER,14.5,15,15.4,15.7,15.9,16.3
NGA,11.2,10.5,10.1,9.7,9.4,9
NIC,,,,,,
NLD,30.9,29.4,28.4,27.4,26.5,25.6
NOR,23,20.6,19.2,17.8,16.6,15.5
NPL,63.4,58.9,56.1,53.4,50.8,48.6
NRU,60.2,57.5,56.1,54.6,53,51.7
NZL,23.4,21.2,19.7,18.5,17.3,16.1
OED,36.46621102,34.43609565,33.18391467,31.92870867,30.78497861,29.71565885
