TGO,4.3,2.4
THA,7.1,7
TJK,5,6.1
TKM,5.3,6.1
TLA,7.363813514,9.67106673
TLS,3.5,6.7
TMN,9.0653809,10.80461552
TON,13.4,15.7
TSA,7.813139538,11.23792645
TSS,3.805243914,5.359439759
TTO,11.7,11
TUN,9.3,8.5
TUR,8,11.1
TUV,13.9,22.1
TZA,3.2,5.7
UGA,2.2,2.5
UKR,7.6,6.1
UMC,5.54004449,9.001464783
URY,5.7,7.3
USA,10.3,10.8
UZB,5.2,6.5
VCT,8.4,11.6
VEN,6.5,7
VGB,10.2,14.2
VIR,9.9,12.3
VNM,3.5,6
VUT,3.2,11.9
WLD,6.448968617,8.811990156
WSM,7.7,9.2
XKX,,
YEM,3,5.4
ZAF,4.5,12.7
ZMB,4,4.5
ZWE,4.1,1.8
